ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2024-25,American Indian/Alaska Native Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2022-23,American Indian/Alaska Native Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2020-21,American Indian/Alaska Native Students [Public School] 2019-20,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2002-03,American Indian/Alaska Native Students [Public School] 1998-99,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1990-91
EXCEL ACADEMY PCS LEAD,DISTRICT OF COLUMBIA,110007600490,†,†,†,†,†,†,†,†,0,†,†,†,†,†,†
FEREBEE HOPE ES,District of Columbia,110003000069,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
FLETCHER JOHNSON ED COMPLEX                       ,District of Columbia,110003000175,†,†,†,†,†,†,†,†,†,†,†,0,0,0,0
FRIENDSHIP PCS - ARMSTRONG ELEMENTARY,DISTRICT OF COLUMBIA,110000800497,0,0,0,1,1,2,3,–,†,†,†,†,†,†,†
FRIENDSHIP PCS - ARMSTRONG MIDDLE,DISTRICT OF COLUMBIA,110000800526,0,0,0,–,–,0,†,†,†,†,†,†,†,†,†
FRIENDSHIP PCS - BLOW PIERCE ELEMENTARY,District of Columbia,110000800479,0,0,0,1,1,3,1,–,0,†,†,†,†,†,†
FRIENDSHIP PCS - BLOW PIERCE MIDDLE,District of Columbia,110000800478,0,0,0,–,–,0,–,–,0,†,†,†,†,†,†
FRIENDSHIP PCS - CHAMBERLAIN ELEMENTARY,District of Columbia,110000800480,0,0,0,–,–,0,1,–,0,†,†,†,†,†,†
FRIENDSHIP PCS - CHAMBERLAIN MIDDLE,District of Columbia,110000800483,0,0,0,–,–,0,–,–,0,†,†,†,†,†,†
FRIENDSHIP PCS - COLLEGIATE ACADEMY,District of Columbia,110000800338,4,2,2,1,–,0,–,–,0,0,0,†,†,†,†
FRIENDSHIP PCS - IDEAL ELEMENTARY,DISTRICT OF COLUMBIA,110000800530,0,0,0,–,–,0,†,†,†,†,†,†,†,†,†
FRIENDSHIP PCS - IDEAL MIDDLE,DISTRICT OF COLUMBIA,110000800528,0,0,0,–,–,0,†,†,†,†,†,†,†,†,†
FRIENDSHIP PCS - ONLINE ACADEMY,DISTRICT OF COLUMBIA,110000800495,2,9,4,4,3,3,4,–,†,†,†,†,†,†,†
FRIENDSHIP PCS - SOUTHEAST ELEMENTARY,District of Columbia,110000800382,0,0,0,1,1,1,1,–,0,2,†,†,†,†,†
FRIENDSHIP PCS - SOUTHEAST MIDDLE,DISTRICT OF COLUMBIA,110000800515,0,0,0,–,–,0,–,†,†,†,†,†,†,†,†
FRIENDSHIP PCS - TECHNOLOGY PREPARATORY HS,DISTRICT OF COLUMBIA,110000800496,0,0,0,–,–,0,–,–,†,†,†,†,†,†,†
FRIENDSHIP PCS - TECHNOLOGY PREPARATORY MS,District of Columbia,110000800422,†,†,†,†,†,0,–,–,0,0,†,†,†,†,†
FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL ELEMENTARY,District of Columbia,110000800482,0,1,0,2,4,3,1,–,1,†,†,†,†,†,†
FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL MIDDLE,District of Columbia,110000800481,0,0,0,–,–,0,–,–,0,†,†,†,†,†,†
FRIENDSHIP PCS BLOW PIERCE,District of Columbia,110000800323,†,†,†,†,†,†,†,†,†,0,0,†,†,†,†
FRIENDSHIP PCS CHAMBERLAIN,District of Columbia,110000800222,†,†,†,†,†,†,†,†,†,0,0,–,†,†,†
FRIENDSHIP PCS WOODRIDGE CAMPUS,District of Columbia,110000800341,†,†,†,†,†,†,†,†,†,0,0,†,†,†,†
