ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2002-03,Total Students All Grades (Excludes AE) [Public School] 1998-99,Total Students All Grades (Excludes AE) [Public School] 1994-95,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1986-87,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2014-15,Longitude [Public School] 2010-11,Longitude [Public School] 2006-07,Longitude [Public School] 2002-03,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2014-15,Latitude [Public School] 2010-11,Latitude [Public School] 2006-07,Latitude [Public School] 2002-03,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2014-15,Free Lunch Eligible [Public School] 2010-11,Free Lunch Eligible [Public School] 2006-07,Free Lunch Eligible [Public School] 2002-03,Free Lunch Eligible [Public School] 1998-99,Free Lunch Eligible [Public School] 1994-95,Free Lunch Eligible [Public School] 1990-91
GARRISON ES,District of Columbia,110003000171,395,389,375,331,319,291,277,250,244,213,266,386,506,509,433,369,-77.028267,-77.028267,-77.028267,-77.028267,-77.028267,-77.028267,-77.028267,-77.028267,-77.028267,-77.028128,-77.028110,-77.028111,38.913811,38.913811,38.913811,38.913811,38.913811,38.913811,38.913811,38.913811,38.913811,38.914048,38.914000,38.914001,–,–,–,–,–,–,–,–,244,171,187,313,–,465,5
GIBBS ES,District of Columbia,110003000170,†,†,†,†,†,†,†,†,†,†,288,528,519,375,327,321,†,†,†,†,†,†,†,†,†,†,-76.978590,-76.978585,†,†,†,†,†,†,†,†,†,†,38.896780,38.896777,†,†,†,†,†,†,†,†,†,†,251,400,–,337,152
GIDDINGS ELEMENTARY SCHOOL,District of Columbia,110003000169,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,214,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GIRLS GLOBAL ACADEMY PCS,DISTRICT OF COLUMBIA,110011300537,183,210,163,155,65,†,†,†,†,†,†,†,†,†,†,†,-77.022590,-77.022590,-77.022590,-77.022590,-77.022590,†,†,†,†,†,†,†,38.899256,38.899256,38.899256,38.899256,38.899256,†,†,†,†,†,†,†,–,–,–,–,–,†,†,†,†,†,†,†,†,†,†
GLOBAL CITIZENS PCS,DISTRICT OF COLUMBIA,110011600545,198,161,110,60,†,†,†,†,†,†,†,†,†,†,†,†,-76.946307,-76.946307,-76.946307,-76.946307,†,†,†,†,†,†,†,†,38.897511,38.897511,38.897511,38.897511,†,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,†,†,†,†
GODING ELEMENTARY SCHOOL,District of Columbia,110003000168,†,†,†,†,†,†,†,†,†,†,†,†,†,†,237,287,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,189
GOODWILL EXCEL CENTER PCS,DISTRICT OF COLUMBIA,110010500508,440,441,405,426,362,378,374,358,†,†,†,†,†,†,†,†,-77.041191,-77.041191,-77.041191,-77.041191,-77.041191,-77.041191,-77.041191,-77.041191,†,†,†,†,38.897950,38.897950,38.897950,38.897950,38.897950,38.897950,38.897950,38.897950,†,†,†,†,–,–,–,–,–,–,–,–,†,†,†,†,†,†,†
GREEN ES,District of Columbia,110003000187,†,†,†,†,†,†,†,†,†,†,288,411,402,374,489,747,†,†,†,†,†,†,†,†,†,†,-76.984780,-76.984775,†,†,†,†,†,†,†,†,†,†,38.840820,38.840821,†,†,†,†,†,†,†,†,†,†,237,326,–,339,88
GRIMKE JOB DEVELOPMENT CENTER,District of Columbia,110003000059,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,74,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
H.D. COOKE ES,District of Columbia,110003000100,406,389,379,366,383,407,387,404,400,366,306,416,490,431,470,649,-77.038756,-77.038756,-77.038756,-77.038756,-77.038756,-77.038756,-77.038756,-77.038756,-77.038411,-77.018035,-77.038920,-77.038924,38.924059,38.924059,38.924059,38.924059,38.924059,38.924059,38.924059,38.924059,38.923900,38.920317,38.923920,38.923919,–,–,–,–,–,–,–,–,400,330,273,305,–,409,109
H.D. WOODSON HS,District of Columbia,110003000055,579,544,543,478,434,468,455,488,639,721,773,788,776,1122,1087,1546,-76.922987,-76.922987,-76.922987,-76.922987,-76.922987,-76.922987,-76.922987,-76.922987,-76.921914,-76.935471,-76.921870,-76.921870,38.896865,38.896865,38.896865,38.896865,38.896865,38.896865,38.896865,38.896865,38.896350,38.885138,38.895890,38.895894,–,–,–,–,–,–,–,–,639,453,463,497,–,425,163
HAMILTON ALTERNATIVE SCHOOL,District of Columbia,110003000212,†,†,†,†,†,†,†,†,†,†,†,†,28,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†
HAMILTON CENTER,District of Columbia,110003000261,†,†,†,†,†,†,†,†,†,67,71,56,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.995758,-76.995740,-76.995739,†,†,†,†,†,†,†,†,†,38.909599,38.909560,38.909555,†,†,†,†,†,†,†,†,†,62,45,42,†,†,†
HAMILTON JUNIOR HIGH SCHOOL,District of Columbia,110003000147,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,312,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HARDY MS,District of Columbia,110003000186,631,602,571,531,500,474,451,392,386,521,311,420,232,199,225,205,-77.068741,-77.068741,-77.068741,-77.068741,-77.068741,-77.068741,-77.068741,-77.068741,-77.068661,-77.069370,-77.069250,-77.069252,38.915415,38.915415,38.915415,38.915415,38.915415,38.915415,38.915415,38.915415,38.915780,38.915729,38.915520,38.915523,–,–,–,–,–,–,–,–,383,518,–,69,–,49,56
HARMONY DC PCS - SCHOOL OF EXCELLENCE,DISTRICT OF COLUMBIA,110009600491,182,178,159,140,113,118,112,94,66,†,†,†,†,†,†,†,-77.006700,-77.006700,-77.006700,-77.006700,-77.006700,-77.006700,-77.006700,-77.006700,-77.006813,†,†,†,38.916004,38.916004,38.916004,38.916004,38.916004,38.916004,38.916004,38.916004,38.915585,†,†,†,–,–,–,–,–,–,–,–,52,†,†,†,†,†,†
HARRIS PATRICIA R. EC,District of Columbia,110003000167,†,†,†,†,†,†,†,†,†,†,623,917,772,1020,1368,1293,†,†,†,†,†,†,†,†,†,†,-77.002080,-77.002083,†,†,†,†,†,†,†,†,†,†,38.823900,38.823896,†,†,†,†,†,†,†,†,†,†,516,681,–,844,194
HARRISON ELEMENTARY SCHOOL,District of Columbia,110003000184,†,†,†,†,†,†,†,†,†,†,†,†,†,243,265,226,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,224,177
HART MS,District of Columbia,110003000135,374,367,386,421,470,428,357,337,479,401,567,578,605,721,681,964,-76.997357,-76.997357,-76.997357,-76.997357,-76.997357,-76.997357,-76.997357,-76.997357,-76.997357,-76.996116,-76.998330,-76.998329,38.837418,38.837418,38.837418,38.837418,38.837418,38.837418,38.837418,38.837418,38.837418,38.838400,38.837500,38.837500,–,–,–,–,–,–,–,–,479,358,432,344,–,519,227
HEARST ES,District of Columbia,110003000183,356,337,347,334,346,340,331,312,291,241,160,159,184,187,164,184,-77.072016,-77.072016,-77.072016,-77.072016,-77.072016,-77.072016,-77.072016,-77.072016,-77.072016,-77.072456,-77.072530,-77.072531,38.940711,38.940711,38.940711,38.940711,38.940711,38.940711,38.940711,38.940711,38.940711,38.940693,38.940720,38.940723,–,–,–,–,–,–,–,–,288,238,27,24,–,28,0
HENDLEY ES,District of Columbia,110003000182,276,251,289,278,307,357,366,379,503,364,230,405,455,562,630,613,-76.999555,-76.999555,-76.999555,-76.999555,-76.999555,-76.999555,-76.999555,-76.999555,-76.999555,-76.998958,-77.000310,-77.000312,38.828872,38.828872,38.828872,38.828872,38.828872,38.828872,38.828872,38.828872,38.828872,38.829195,38.829110,38.829113,–,–,–,–,–,–,–,–,503,314,215,361,–,503,296
HINE JHS,District of Columbia,110003000146,†,†,†,†,†,†,†,†,†,†,376,675,667,815,706,704,†,†,†,†,†,†,†,†,†,†,-76.995080,-76.995083,†,†,†,†,†,†,†,†,†,†,38.885530,38.885531,†,†,†,†,†,†,†,†,†,†,268,313,–,561,123
HLTH HMN SERV LAW & LEGAL SERV ACADEMY AT EASTERN,District of Columbia,110003000311,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.008950,†,†,†,†,†,†,†,†,†,†,†,38.869040,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HOPE COMMUNITY PCS - LAMOND,District of Columbia,110005100301,†,†,†,†,202,234,276,288,358,363,307,†,†,†,†,†,†,†,†,†,-77.008685,-77.008685,-77.008685,-77.008685,-77.008451,-76.994947,-77.075900,†,†,†,†,†,38.965805,38.965805,38.965805,38.965805,38.966010,38.927070,38.930800,†,†,†,†,†,–,–,–,–,291,199,47,†,†,†,†
HOPE COMMUNITY PCS - TOLSON,District of Columbia,110005100386,232,227,203,282,365,475,465,467,517,415,†,†,†,†,†,†,-76.994601,-76.994601,-76.994601,-76.994601,-76.994601,-76.994601,-76.994601,-76.994601,-76.994601,-77.008245,†,†,38.926870,38.926870,38.926870,38.926870,38.926870,38.926870,38.926870,38.926870,38.926870,38.965748,†,†,–,–,–,–,–,–,–,–,389,221,†,†,†,†,†
HOSPITALITY HIGH SCHOOL,District of Columbia,110001000224,†,†,†,†,†,†,†,†,171,154,177,120,†,†,†,†,†,†,†,†,†,†,†,†,-77.023641,-77.023003,-77.023080,-77.023075,†,†,†,†,†,†,†,†,38.915350,38.895206,38.894940,38.894943,†,†,†,†,†,†,†,†,171,104,86,117,†,†,†
HOUSTON ES,District of Columbia,110003000181,314,307,281,268,269,274,277,269,279,230,308,338,391,395,384,342,-76.929992,-76.929992,-76.929992,-76.929992,-76.929992,-76.929992,-76.929992,-76.929992,-76.929992,-76.929682,-76.929750,-76.929747,38.905417,38.905417,38.905417,38.905417,38.905417,38.905417,38.905417,38.905417,38.905417,38.904670,38.904700,38.904695,–,–,–,–,–,–,–,–,279,192,184,239,–,310,114
HOWARD ROAD ACADEMY PCS  MLK CAMPUS,District of Columbia,110002900425,†,†,†,†,†,†,†,†,†,128,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.992630,†,†,†,†,†,†,†,†,†,†,†,38.862659,†,†,†,†,†,†,†,†,†,†,†,94,†,†,†,†,†
HOWARD ROAD ACADEMY PCS PENNSYLVANIA AVENUE,District of Columbia,110002900389,†,†,†,†,†,†,†,†,†,134,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.964246,†,†,†,†,†,†,†,†,†,†,†,38.870882,†,†,†,†,†,†,†,†,†,†,†,118,†,†,†,†,†
HOWARD UNIVERSITY MS OF MATHEMATICS AND SCIENCE PCS,District of Columbia,110005800308,271,253,284,282,288,291,283,278,294,296,0,†,†,†,†,†,-77.019038,-77.019038,-77.019038,-77.019038,-77.019038,-77.019038,-77.019038,-77.019038,-77.018952,-77.018500,-77.018500,†,38.922853,38.922853,38.922853,38.922853,38.922853,38.922853,38.922853,38.922853,38.922453,38.922766,38.922800,†,–,–,–,–,–,–,–,–,172,139,†,†,†,†,†
HYDE-ADDISON ES,District of Columbia,110003000180,400,396,381,374,386,376,352,320,305,269,172,172,171,170,178,163,-77.064601,-77.064601,-77.064601,-77.064601,-77.064601,-77.064601,-77.026675,-77.026675,-77.064577,-77.064529,-77.064320,-77.064323,38.908151,38.908151,38.908151,38.908151,38.908151,38.908151,38.923024,38.923024,38.908104,38.907882,38.907930,38.907930,–,–,–,–,–,–,–,–,302,32,19,29,–,53,67
I DREAM PCS,DISTRICT OF COLUMBIA,110011400538,99,84,86,68,56,†,†,†,†,†,†,†,†,†,†,†,-76.958573,-76.958573,-76.958573,-76.958573,-76.958573,†,†,†,†,†,†,†,38.862505,38.862505,38.862505,38.862505,38.862505,†,†,†,†,†,†,†,–,–,–,–,–,†,†,†,†,†,†,†,†,†,†
IDA B. WELLS MS,DISTRICT OF COLUMBIA,110003000524,521,540,539,530,370,186,†,†,†,†,†,†,†,†,†,†,-77.019323,-77.019323,-77.019323,-77.019323,-77.019323,-77.019323,†,†,†,†,†,†,38.966588,38.966588,38.966588,38.966588,38.966588,38.966588,†,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,†,†,†,†
IDEA PCS,District of Columbia,110001300227,350,309,307,334,316,289,327,306,217,389,377,232,†,†,†,†,-76.937028,-76.937028,-76.937028,-76.937028,-76.937028,-76.937028,-76.937028,-76.937028,-76.937028,-76.937474,-76.937570,-76.937567,38.904535,38.904535,38.904535,38.904535,38.904535,38.904535,38.904535,38.904535,38.904535,38.904111,38.903320,38.903317,–,–,–,–,–,–,–,–,217,315,212,109,†,†,†
IDEAL ACADEMY PCS,District of Columbia,110001200401,†,†,†,†,†,†,250,289,297,273,†,†,†,†,†,†,†,†,†,†,†,†,-77.009948,-77.009948,-77.009758,-77.009758,†,†,†,†,†,†,†,†,38.964939,38.964939,38.964899,38.964899,†,†,†,†,†,†,†,†,–,–,260,250,†,†,†,†,†
IDEAL ACADEMY PCS  PEABODY STREET CAMPUS HS,District of Columbia,110001200226,†,†,†,†,†,†,†,†,†,133,319,201,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.012478,-77.011180,-77.011175,†,†,†,†,†,†,†,†,†,38.962631,38.962610,38.962613,†,†,†,†,†,†,†,†,†,99,155,119,†,†,†
IMAGINE SOUTHEAST PC,District of Columbia,110007400409,†,†,†,†,†,†,†,†,†,489,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.998183,-76.999855,†,†,†,†,†,†,†,†,†,†,38.843708,38.843015,†,†,†,†,†,†,†,†,†,†,†,379,†,†,†,†,†
INGENUITY PREP PCS,District of Columbia,110009000460,797,792,788,792,756,637,560,496,201,†,†,†,†,†,†,†,-77.003023,-77.003023,-77.003023,-77.003023,-77.003023,-77.003023,-77.003023,-77.003023,-77.002125,†,†,†,38.823755,38.823755,38.823755,38.823755,38.823755,38.823755,38.823755,38.823755,38.823814,†,†,†,–,–,–,–,–,–,–,–,201,†,†,†,†,†,†
INSPIRED TEACHING DEMONSTRATION PCS,District of Columbia,110008000437,522,522,518,506,514,492,470,446,317,†,†,†,†,†,†,†,-77.002633,-77.002633,-77.002633,-77.002633,-77.002633,-77.002633,-77.002633,-77.002633,-77.030621,0.000000,†,†,38.923707,38.923707,38.923707,38.923707,38.923707,38.923707,38.923707,38.923707,38.919920,0.000000,†,†,–,–,–,–,–,–,–,–,52,†,†,†,†,†,†
INSPIRING YOUTH PROGRAM,District of Columbia,110003000385,†,†,†,†,†,†,†,†,28,62,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.976643,-76.977205,†,†,†,†,†,†,†,†,†,†,38.883352,38.884046,†,†,†,†,†,†,†,†,†,†,25,0,†,†,†,†,†
J.O. WILSON ES,District of Columbia,110003000062,477,464,438,424,447,467,477,509,466,366,339,414,512,583,456,475,-76.972883,-76.996847,-76.996847,-76.996847,-76.996847,-76.996847,-76.996847,-76.996847,-76.996847,-76.997228,-76.997060,-76.997056,38.900952,38.903077,38.903077,38.903077,38.903077,38.903077,38.903077,38.903077,38.903077,38.902511,38.902600,38.902602,–,–,–,–,–,–,–,–,466,283,247,330,–,429,201
JACKIE ROBINSON CENTER,District of Columbia,110003000205,†,†,†,†,†,†,†,†,†,†,55,14,23,13,25,†,†,†,†,†,†,†,†,†,†,-76.997799,-77.008790,-77.008788,†,†,†,†,†,†,†,†,†,38.864199,38.964770,38.964774,†,†,†,†,†,†,†,†,†,†,–,–,–,0,0
JACKSON-REED HS,District of Columbia,110003000133,1855,1994,2153,2062,1951,1872,1796,1829,1788,1518,1382,1476,1436,1402,1423,1704,-77.077659,-77.077659,-77.077659,-77.077659,-77.077659,-77.077659,-77.077659,-77.077659,-77.077659,-77.077573,-77.077980,-77.077983,38.950001,38.950001,38.950001,38.950001,38.950001,38.950001,38.950001,38.950001,38.950001,38.950708,38.950640,38.950637,–,–,–,–,–,–,–,–,1785,568,338,468,–,280,217
JANNEY ES,District of Columbia,110003000179,717,684,688,672,681,752,739,737,693,501,485,456,443,412,359,264,-77.080985,-77.080985,-77.080985,-77.080985,-77.080985,-77.080985,-77.080985,-77.080985,-77.080985,-77.080992,-77.080410,-77.080408,38.947470,38.947470,38.947470,38.947470,38.947470,38.947470,38.947470,38.947470,38.947470,38.947921,38.947820,38.947821,–,–,–,–,–,–,–,–,690,11,11,14,–,18,6
JEFFERSON MS,District of Columbia,110003000145,†,†,†,†,†,†,†,†,†,277,589,882,785,796,754,713,†,†,†,†,†,†,†,†,†,-77.022062,-77.022020,-77.022019,†,†,†,†,†,†,†,†,†,38.879336,38.879780,38.879780,†,†,†,†,†,†,†,†,†,223,371,416,–,448,298
JEFFERSON MS ACADEMY,District of Columbia,110003000453,409,406,386,375,377,353,341,314,277,†,†,†,†,†,†,†,-77.022977,-77.022977,-77.022977,-77.022977,-77.022977,-77.022977,-77.022977,-77.022977,-77.022949,†,†,†,38.880066,38.880066,38.880066,38.880066,38.880066,38.880066,38.880066,38.880066,38.879890,†,†,†,–,–,–,–,–,–,–,–,277,†,†,†,†,†,†
JOHN FRANCIS EDUCATION CAMPUS,District of Columbia,110003000149,583,529,479,516,587,540,472,473,414,235,307,403,457,589,612,782,-77.052326,-77.023980,-77.023980,-77.052335,-77.052335,-77.052335,-77.052335,-77.052335,-77.052335,-77.051813,-77.051900,-77.051904,38.907477,38.923839,38.923839,38.907591,38.907591,38.907591,38.907591,38.907591,38.907591,38.907301,38.907330,38.907334,–,–,–,–,–,–,–,–,411,124,–,225,–,360,129
JOHN LEWIS ES,District of Columbia,110003000067,509,493,427,371,317,342,336,330,267,239,202,309,362,420,486,498,-77.032408,-77.032408,-77.032408,-77.032408,-77.030235,-77.030235,-77.032510,-77.032510,-77.032310,-77.031174,-77.031150,-77.031152,38.951260,38.951260,38.951260,38.951260,38.943594,38.943594,38.951501,38.951501,38.951368,38.950743,38.950710,38.950709,–,–,–,–,–,–,–,–,267,236,111,179,–,212,90
JOHNSON MS,District of Columbia,110003000144,307,297,298,318,354,337,275,255,291,255,422,646,515,392,502,722,-76.983723,-76.983723,-76.983723,-76.983723,-76.983723,-76.983723,-76.983723,-76.983723,-76.983723,-76.984755,-76.985290,-76.985292,38.851297,38.851297,38.851297,38.851297,38.851297,38.851297,38.851297,38.851297,38.851297,38.849836,38.849350,38.849351,–,–,–,–,–,–,–,–,291,242,316,487,–,372,436
JOSE-ARZ ACADEMY PUBLIC CHARTER SCHOOL            ,District of Columbia,110003600254,†,†,†,†,†,†,†,†,†,†,†,56,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.976535,†,†,†,†,†,†,†,†,†,†,†,38.898264,†,†,†,†,†,†,†,†,†,†,†,53,†,†,†
KAMIT INSTITUTE PCS,District of Columbia,110003700255,†,†,†,†,†,†,†,†,†,†,203,76,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.011180,-77.028083,†,†,†,†,†,†,†,†,†,†,38.962610,38.961725,†,†,†,†,†,†,†,†,†,†,116,40,†,†,†
KEENE ELEMENTARY SCHOOL,District of Columbia,110003000178,†,†,†,†,†,†,†,†,†,†,†,†,†,359,344,350,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,252,171
KELLY MILLER MS,District of Columbia,110003000272,315,289,351,400,499,538,482,387,546,375,438,†,†,†,†,†,-76.932374,-76.932374,-76.932374,-76.932374,-76.932374,-76.932374,-76.932374,-76.932374,-76.932374,-76.932832,-76.932790,†,38.893315,38.893315,38.893315,38.893315,38.893315,38.893315,38.893315,38.893315,38.893315,38.893588,38.893380,†,–,–,–,–,–,–,–,–,546,354,290,†,†,†,†
KENILWORTH ES,District of Columbia,110003000177,†,†,†,†,†,†,†,†,†,178,280,379,392,348,183,236,†,†,†,†,†,†,†,†,†,-76.940309,-76.940400,-76.940395,†,†,†,†,†,†,†,†,†,38.907228,38.907240,38.907243,†,†,†,†,†,†,†,†,†,0,220,310,–,315,115
KETCHAM ES,District of Columbia,110003000176,244,250,284,283,329,326,300,310,309,255,340,413,526,591,637,682,-76.983634,-76.983634,-76.983634,-76.983634,-76.983634,-76.983634,-76.983634,-76.983634,-76.983634,-76.983323,-76.983340,-76.983344,38.866039,38.866039,38.866039,38.866039,38.866039,38.866039,38.866039,38.866039,38.866039,38.866260,38.866280,38.866276,–,–,–,–,–,–,–,–,309,224,305,321,–,534,509
KEY ES,District of Columbia,110003000174,337,347,353,319,346,382,399,417,383,365,276,217,202,181,164,163,-77.100651,-77.100651,-77.100651,-77.100651,-77.100651,-77.100651,-77.100651,-77.100651,-77.100651,-77.099944,-77.099940,-77.099943,38.926820,38.926820,38.926820,38.926820,38.926820,38.926820,38.926820,38.926820,38.926820,38.926403,38.926420,38.926417,–,–,–,–,–,–,–,–,380,15,10,3,–,25,5
KIMBALL ES,District of Columbia,110003000173,330,374,395,400,373,392,343,325,348,309,323,452,494,635,530,600,-76.957309,-76.957309,-76.957309,-76.957309,-76.957309,-76.957309,-76.937371,-76.937371,-76.957637,-76.957735,-76.957680,-76.957675,38.883143,38.883143,38.883143,38.883143,38.883143,38.883143,38.879051,38.879051,38.883032,38.883190,38.883190,38.883188,–,–,–,–,–,–,–,–,348,263,272,333,–,305,116
KING ES,District of Columbia,110003000102,193,202,226,223,271,304,295,346,372,375,396,464,511,662,551,509,-76.998170,-76.998170,-76.998170,-76.998170,-76.998170,-76.998170,-76.998170,-76.998170,-76.998170,-76.998382,-76.998330,-76.998332,38.842396,38.842396,38.842396,38.842396,38.842396,38.842396,38.842396,38.842396,38.842396,38.843049,38.843080,38.843084,–,–,–,–,–,–,–,–,372,331,250,299,–,426,320
KINGSMAN ACADEMY PCS,DISTRICT OF COLUMBIA,110009900502,346,326,315,283,258,242,285,252,†,†,†,†,†,†,†,†,-76.986256,-76.986256,-76.986256,-76.986256,-76.986256,-76.986256,-76.986256,-76.986256,†,†,†,†,38.895795,38.895795,38.895795,38.895795,38.895795,38.895795,38.895795,38.895795,†,†,†,†,–,–,–,–,–,–,–,–,†,†,†,†,†,†,†
KINGSMAN ELEMENTARY SCHOOL,District of Columbia,110003000172,†,†,†,†,†,†,†,†,†,†,†,†,†,†,275,337,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,76
KIPP DC - AIM ACADEMY PCS,District of Columbia,110003100381,435,435,441,411,422,413,391,378,321,331,†,†,†,†,†,†,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.987284,-76.999855,†,†,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.857235,38.843015,†,†,–,–,–,–,–,–,–,–,280,252,†,†,†,†,†
KIPP DC - ARTS AND TECHNOLOGY ACADEMY PCS,DISTRICT OF COLUMBIA,110003100489,244,270,295,319,327,344,348,347,212,†,†,†,†,†,†,†,-76.925058,-76.925058,-76.925058,-76.925058,-76.925058,-76.925058,-76.925058,-76.925058,-76.924671,†,†,†,38.891978,38.891978,38.891978,38.891978,38.891978,38.891978,38.891978,38.891978,38.892360,†,†,†,–,–,–,–,–,–,–,–,129,†,†,†,†,†,†
KIPP DC - COLLEGE PREPARATORY PCS,District of Columbia,110003100421,643,696,769,868,881,820,802,713,454,211,†,†,†,†,†,†,-76.994477,-76.994477,-76.994477,-76.994477,-76.994477,-76.994477,-76.994477,-76.994477,-76.987284,-76.987275,†,†,38.909321,38.909321,38.909321,38.909321,38.909321,38.909321,38.909321,38.909321,38.857235,38.857267,†,†,–,–,–,–,–,–,–,–,370,142,†,†,†,†,†
KIPP DC - CONNECT ACADEMY PCS,District of Columbia,110003100468,251,270,287,288,322,324,323,325,301,†,†,†,†,†,†,†,-76.981461,-76.981461,-76.981461,-76.981461,-76.981461,-76.981461,-76.981461,-76.981461,-76.981461,†,†,†,38.907440,38.907440,38.907440,38.907440,38.907440,38.907440,38.907440,38.907440,38.907440,†,†,†,–,–,–,–,–,–,–,–,264,†,†,†,†,†,†
KIPP DC - DISCOVER ACADEMY PCS,District of Columbia,110003100427,282,319,329,312,364,366,354,351,330,197,†,†,†,†,†,†,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.987284,-76.987256,†,†,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.857235,38.857245,†,†,–,–,–,–,–,–,–,–,293,160,†,†,†,†,†
KIPP DC - GROW ACADEMY PCS,District of Columbia,110003100432,224,236,262,‡,311,323,318,321,312,101,†,†,†,†,†,†,-77.018071,-77.018071,-77.018071,-77.018071,-77.018071,-77.018071,-77.018071,-77.018071,-77.018071,-77.016871,†,†,38.910110,38.910110,38.910110,38.910110,38.910110,38.910110,38.910110,38.910110,38.910110,38.909694,†,†,–,–,–,–,–,–,–,–,262,81,†,†,†,†,†
KIPP DC - HEIGHTS ACADEMY PCS,District of Columbia,110003100452,408,458,469,455,465,465,462,461,415,†,†,†,†,†,†,†,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.988929,-76.987284,†,†,†,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.856181,38.857235,†,†,†,–,–,–,–,–,–,–,–,360,†,†,†,†,†,†
