ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2024-25,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2018-19,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2014-15,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2010-11,School ID (12-digit) - NCES Assigned [Public School] Latest available year
KIMBALL ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000173
KING ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000102
KINGSMAN ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110009900502
KIPP DC - AIM ACADEMY PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003100381
KIPP DC - ARTS AND TECHNOLOGY ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,0,†,110003100489
KIPP DC - COLLEGE PREPARATORY PCS,District of Columbia,1,0,0,–,–,0,–,–,0,0,110003100421
KIPP DC - CONNECT ACADEMY PCS,District of Columbia,0,0,0,1,2,1,1,–,0,†,110003100468
KIPP DC - DISCOVER ACADEMY PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003100427
KIPP DC - GROW ACADEMY PCS,District of Columbia,1,0,0,‡,–,1,1,1,0,0,110003100432
KIPP DC - HEIGHTS ACADEMY PCS,District of Columbia,0,1,0,–,–,0,–,–,0,†,110003100452
KIPP DC - HONOR ACADEMY PCS,DISTRICT OF COLUMBIA,1,0,0,–,–,0,†,†,†,†,110003100522
KIPP DC - INSPIRE ACADEMY PCS,DISTRICT OF COLUMBIA,1,0,0,–,†,†,†,†,†,†,110003100542
KIPP DC - KEY ACADEMY PCS,District of Columbia,3,0,0,–,–,0,–,–,0,0,110003100246
KIPP DC - LEAD ACADEMY PCS,District of Columbia,0,0,1,1,1,0,–,–,0,†,110003100463
KIPP DC - LEAP ACADEMY PCS,District of Columbia,0,–,–,–,–,0,1,1,0,0,110003100375
KIPP DC - NORTHEAST ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,0,†,110003100487
KIPP DC - PRIDE ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,0,–,†,†,†,†,†,†,110003100541
KIPP DC - PROMISE ACADEMY PCS,District of Columbia,1,1,1,1,1,1,–,–,0,0,110003100419
KIPP DC - QUEST ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,0,†,110003100488
KIPP DC - SPRING ACADEMY PCS,District of Columbia,1,1,1,‡,–,0,–,–,0,†,110003100469
KIPP DC - VALOR ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110003100486
KIPP DC - WILL ACADEMY PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003100376
KIPP DC PCS - LEGACY COLLEGE PREPARATORY PCS,DISTRICT OF COLUMBIA,2,0,0,–,–,0,†,†,†,†,110003100523
KRAMER MS,District of Columbia,0,0,0,–,–,0,–,–,1,0,110003000143
LAFAYETTE ES,District of Columbia,1,1,2,1,3,3,4,2,2,3,110003000045
LANGDON ES,District of Columbia,1,0,0,–,–,0,–,–,0,0,110003000044
LANGLEY ES,District of Columbia,0,0,0,–,–,0,–,–,0,†,110003000445
LASALLE-BACKUS ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000042
LASHAWN DCPS NON PUBLIC,District of Columbia,†,†,†,†,†,†,†,†,†,†,110003000266
LATIN AMERICAN MONTESSORI BILINGUAL PCS,District of Columbia,0,0,0,–,–,0,2,2,0,0,110003200247
LAWRENCE E. BOONE ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000161
LAYC CAREER ACADEMY PCS,District of Columbia,†,†,†,†,†,†,†,†,0,†,110009100467
LEARN DC PCS,DISTRICT OF COLUMBIA,1,1,1,1,†,†,†,†,†,†,110011700546
LECKIE EDUCATION CAMPUS,District of Columbia,1,0,0,–,4,5,3,4,4,0,110003000041
LEE MONTESSORI PCS - BROOKLAND,District of Columbia,0,0,0,–,3,3,1,1,0,†,110009300476
LEE MONTESSORI PCS - EAST END,DISTRICT OF COLUMBIA,0,1,1,–,–,0,†,†,†,†,110009300525
LORRAINE H. WHITLOCK ES,District of Columbia,1,1,0,1,–,0,–,–,0,0,110003000122
LUDLOW-TAYLOR ES,District of Columbia,1,1,1,1,1,1,–,–,0,0,110003000037
LUKE C. MOORE HS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000198
M C  TERRELL ES,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000010
MACARTHUR HS,DISTRICT OF COLUMBIA,0,1,†,†,†,†,†,†,†,†,110003000780
MACFARLAND MS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110003000511
MACFARLAND MS LINCOLN HILL CLUSTER,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000141
MALCOLM X ES AT GREEN,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000036
MAMIE D  LEE SCHOOL,District of Columbia,†,†,†,†,†,†,†,†,0,0,110003000090
MANN ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000035
MARIE REED ES,District of Columbia,0,0,0,–,–,0,–,1,3,1,110003000032
MARSHALL EC,District of Columbia,†,†,†,†,†,†,†,†,†,1,110003000188
MARY MCLEOD BETHUNE DAY ACADEMY PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110004400275
MAURY ES,District of Columbia,1,1,0,–,–,0,–,1,3,2,110003000034
MAYA ANGELOU ACADEMY AT NEW BEGINNINGS FORMERLY OAK HILL,District of Columbia,0,0,0,0,0,0,–,–,0,†,110008700213
MAYA ANGELOU ACADEMY AT YOUTH SERVICES CENTER,DISTRICT OF COLUMBIA,0,0,0,†,†,†,†,†,†,†,110008700547
